profit,params,group
10372.991000000016,4339_4339,1
10370.811000000016,4340_4340,1
10368.061000000018,4341_4341,1
10370.481000000018,4342_4342,1
10377.241000000016,4343_4343,1
10373.961000000016,4344_4344,1
10369.551000000016,4345_4345,1
10365.121000000016,4346_4346,1
10367.881000000016,4347_4347,1
10368.251000000017,4348_4348,1
10370.711000000016,4349_4349,1
10365.001000000017,4350_4350,1
10365.361000000015,4351_4351,1
10381.601000000015,4352_4352,1
10369.061000000016,4353_4353,1
10372.811000000016,4354_4354,1
10361.978000000016,4355_4355,1
10369.298000000015,4356_4356,1
10367.968000000015,4357_4357,1
10365.118000000017,4358_4358,1
10366.188000000016,4359_4359,1
10361.168000000016,4360_4360,1
10356.818000000016,4361_4361,1
10360.888000000015,4362_4362,1
10359.068000000016,4363_4363,1
10358.348000000016,4364_4364,1
10355.168000000016,4365_4365,1
10349.799000000015,4366_4366,1
10354.659000000016,4367_4367,1
10352.489000000016,4368_4368,1
10355.699000000017,4369_4369,1
10355.489000000016,4370_4370,1
10348.739000000016,4371_4371,1
10351.739000000016,4372_4372,1
10353.109000000017,4373_4373,1
10354.939000000017,4374_4374,1
10352.649000000016,4375_4375,1
10355.739000000014,4376_4376,1
10350.406000000015,4377_4377,1
10351.356000000014,4378_4378,1
10349.146000000015,4379_4379,1
10340.746000000016,4380_4380,1
10336.116000000016,4381_4381,1
10337.026000000014,4382_4382,1
10335.856000000014,4383_4383,1
10333.706000000017,4384_4384,1
10347.986000000015,4385_4385,1
10357.586000000016,4386_4386,1
10366.219000000016,4387_4387,1
10363.359000000017,4388_4388,1
10368.639000000016,4389_4389,1
10366.359000000017,4390_4390,1
10366.289000000015,4391_4391,1
10366.449000000017,4392_4392,1
10365.139000000016,4393_4393,1
10371.659000000016,4394_4394,1
10368.239000000016,4395_4395,1
10368.159000000016,4396_4396,1
10369.139000000016,4397_4397,1
10369.939000000017,4398_4398,1
10363.349000000017,4399_4399,1
10362.799000000015,4400_4400,1
10366.449000000017,4401_4401,1
10367.289000000015,4402_4402,1
10361.399000000016,4403_4403,1
10358.429000000016,4404_4404,1
10357.819000000016,4405_4405,1
10361.949000000017,4406_4406,1
10357.859000000017,4407_4407,1
